Arquitectura,Etapa,Generador,Visto,VP_fake_fake,FN_fake_real,FP_real_fake,VN_real_real
EfficientNet-B0,Inicial,StyleGAN2,True,3143,7,609,2541
EfficientNet-B0,Inicial,StyleGAN3,False,2838,312,609,2541
EfficientNet-B0,Inicial,SDXL,False,1264,1886,609,2541
EfficientNet-B0,Inicial,Flux,False,1807,1343,609,2541
EfficientNet-B0,FT-1,StyleGAN2,True,3150,0,1455,1695
EfficientNet-B0,FT-1,StyleGAN3,True,3128,22,1455,1695
EfficientNet-B0,FT-1,SDXL,False,1763,1387,1455,1695
EfficientNet-B0,FT-1,Flux,False,2300,850,1455,1695
EfficientNet-B0,FT-2,StyleGAN2,True,3150,0,1367,1783
EfficientNet-B0,FT-2,StyleGAN3,True,3123,27,1367,1783
EfficientNet-B0,FT-2,SDXL,True,3080,70,1367,1783
EfficientNet-B0,FT-2,Flux,False,3148,2,1367,1783
EfficientNet-B0,FT-3,StyleGAN2,True,3149,1,1260,1890
EfficientNet-B0,FT-3,StyleGAN3,True,3116,34,1260,1890
EfficientNet-B0,FT-3,SDXL,True,3077,73,1260,1890
EfficientNet-B0,FT-3,Flux,True,3148,2,1260,1890
ResNet-50,Inicial,StyleGAN2,True,3145,5,1259,1891
ResNet-50,Inicial,StyleGAN3,False,3015,135,1259,1891
ResNet-50,Inicial,SDXL,False,2989,161,1259,1891
ResNet-50,Inicial,Flux,False,3028,122,1259,1891
ResNet-50,FT-1,StyleGAN2,True,3150,0,1754,1396
ResNet-50,FT-1,StyleGAN3,True,3124,26,1754,1396
ResNet-50,FT-1,SDXL,False,3049,101,1754,1396
ResNet-50,FT-1,Flux,False,3075,75,1754,1396
ResNet-50,FT-2,StyleGAN2,True,3150,0,1750,1400
ResNet-50,FT-2,StyleGAN3,True,3123,27,1750,1400
ResNet-50,FT-2,SDXL,True,3136,14,1750,1400
ResNet-50,FT-2,Flux,False,3147,3,1750,1400
ResNet-50,FT-3,StyleGAN2,True,3150,0,1506,1644
ResNet-50,FT-3,StyleGAN3,True,3120,30,1506,1644
ResNet-50,FT-3,SDXL,True,3133,17,1506,1644
ResNet-50,FT-3,Flux,True,3149,1,1506,1644
Xception,Inicial,StyleGAN2,True,3137,13,449,2701
Xception,Inicial,StyleGAN3,False,2716,434,449,2701
Xception,Inicial,SDXL,False,2144,1006,449,2701
Xception,Inicial,Flux,False,2515,635,449,2701
Xception,FT-1,StyleGAN2,True,3147,3,1202,1948
Xception,FT-1,StyleGAN3,True,3128,22,1202,1948
Xception,FT-1,SDXL,False,2595,555,1202,1948
Xception,FT-1,Flux,False,2803,347,1202,1948
Xception,FT-2,StyleGAN2,True,3149,1,1189,1961
Xception,FT-2,StyleGAN3,True,3131,19,1189,1961
Xception,FT-2,SDXL,True,3119,31,1189,1961
Xception,FT-2,Flux,False,3148,2,1189,1961
Xception,FT-3,StyleGAN2,True,3149,1,1233,1917
Xception,FT-3,StyleGAN3,True,3132,18,1233,1917
Xception,FT-3,SDXL,True,3130,20,1233,1917
Xception,FT-3,Flux,True,3150,0,1233,1917
