Arquitectura,Etapa,Generador,Visto,Semilla,Exactitud,Precision,Sensibilidad_Recall,Especificidad,F1_Score,AUC_ROC,VP_fake_fake,FN_fake_real,FP_real_fake,VN_real_real
EfficientNet-B0,Inicial,StyleGAN2,True,42,0.8271428571428572,0.7434443656980865,0.9990476190476191,0.6552380952380953,0.8524989841527835,0.9943043083900226,1049,1,362,688
EfficientNet-B0,Inicial,StyleGAN2,True,123,0.9085714285714286,0.8476499189627229,0.9961904761904762,0.820952380952381,0.9159369527145359,0.9968353741496598,1046,4,188,862
EfficientNet-B0,Inicial,StyleGAN2,True,2024,0.9709523809523809,0.9467028003613369,0.9980952380952381,0.9438095238095238,0.9717199814557256,0.9991424036281179,1048,2,59,991
EfficientNet-B0,Inicial,StyleGAN3,False,42,0.8152380952380952,0.7388167388167388,0.9752380952380952,0.6552380952380953,0.8407224958949097,0.9595795918367347,1024,26,362,688
EfficientNet-B0,Inicial,StyleGAN3,False,123,0.8590476190476191,0.8336283185840708,0.8971428571428571,0.820952380952381,0.8642201834862385,0.9411192743764172,942,108,188,862
EfficientNet-B0,Inicial,StyleGAN3,False,2024,0.8871428571428571,0.9366272824919442,0.8304761904761905,0.9438095238095238,0.8803634528016153,0.9546875283446712,872,178,59,991
EfficientNet-B0,Inicial,SDXL,False,42,0.6104761904761905,0.6213389121338913,0.5657142857142857,0.6552380952380953,0.5922233300099701,0.6484235827664399,594,456,362,688
EfficientNet-B0,Inicial,SDXL,False,123,0.5442857142857143,0.5991471215351812,0.26761904761904765,0.820952380952381,0.36998025016458197,0.5103637188208616,281,769,188,862
EfficientNet-B0,Inicial,SDXL,False,2024,0.6571428571428571,0.8683035714285714,0.37047619047619046,0.9438095238095238,0.5193591455273698,0.7568870748299319,389,661,59,991
EfficientNet-B0,Inicial,Flux,False,42,0.6761904761904762,0.6691042047531993,0.6971428571428572,0.6552380952380953,0.6828358208955224,0.7429433106575963,732,318,362,688
EfficientNet-B0,Inicial,Flux,False,123,0.6071428571428571,0.6871880199667221,0.3933333333333333,0.820952380952381,0.5003028467595396,0.6357120181405895,413,637,188,862
EfficientNet-B0,Inicial,Flux,False,2024,0.7871428571428571,0.9181692094313454,0.6304761904761905,0.9438095238095238,0.7476002258610954,0.8851551020408164,662,388,59,991
EfficientNet-B0,FT-1,StyleGAN2,True,42,0.7361904761904762,0.6546134663341646,1.0,0.4723809523809524,0.7912584777694047,0.9950548752834467,1050,0,554,496
EfficientNet-B0,FT-1,StyleGAN2,True,123,0.7814285714285715,0.6958250497017893,1.0,0.5628571428571428,0.82063305978898,0.9977564625850339,1050,0,459,591
EfficientNet-B0,FT-1,StyleGAN2,True,2024,0.7895238095238095,0.7037533512064343,1.0,0.579047619047619,0.8261211644374509,0.9962049886621315,1050,0,442,608
EfficientNet-B0,FT-1,StyleGAN3,True,42,0.731904761904762,0.6526645768025079,0.9914285714285714,0.4723809523809524,0.7871455576559546,0.972780498866213,1041,9,554,496
EfficientNet-B0,FT-1,StyleGAN3,True,123,0.7780952380952381,0.6944074567243675,0.9933333333333333,0.5628571428571428,0.817398119122257,0.9822077097505668,1043,7,459,591
EfficientNet-B0,FT-1,StyleGAN3,True,2024,0.7866666666666666,0.702557200538358,0.9942857142857143,0.579047619047619,0.8233438485804416,0.9806013605442176,1044,6,442,608
EfficientNet-B0,FT-1,SDXL,False,42,0.5366666666666666,0.5324894514767933,0.6009523809523809,0.4723809523809524,0.5646532438478747,0.5559809523809525,631,419,554,496
EfficientNet-B0,FT-1,SDXL,False,123,0.5333333333333333,0.5354251012145749,0.5038095238095238,0.5628571428571428,0.5191364082433758,0.5456734693877551,529,521,459,591
EfficientNet-B0,FT-1,SDXL,False,2024,0.5766666666666667,0.5770334928229665,0.5742857142857143,0.579047619047619,0.575656324582339,0.6111274376417234,603,447,442,608
EfficientNet-B0,FT-1,Flux,False,42,0.5995238095238096,0.5793470007593015,0.7266666666666667,0.4723809523809524,0.6446979298690325,0.6639337868480725,763,287,554,496
EfficientNet-B0,FT-1,Flux,False,123,0.6157142857142858,0.6046511627906976,0.6685714285714286,0.5628571428571428,0.6350067842605156,0.6772267573696145,702,348,459,591
EfficientNet-B0,FT-1,Flux,False,2024,0.6871428571428572,0.653876272513704,0.7952380952380952,0.579047619047619,0.7176622260421143,0.7915464852607709,835,215,442,608
EfficientNet-B0,FT-2,StyleGAN2,True,42,0.7223809523809523,0.6429883649724434,1.0,0.44476190476190475,0.7827059262020126,0.9945578231292517,1050,0,583,467
EfficientNet-B0,FT-2,StyleGAN2,True,123,0.8271428571428572,0.7430997876857749,1.0,0.6542857142857142,0.8526187576126675,0.9985827664399093,1050,0,363,687
EfficientNet-B0,FT-2,StyleGAN2,True,2024,0.7995238095238095,0.7138001359619307,1.0,0.599047619047619,0.8330027766759223,0.9969986394557824,1050,0,421,629
EfficientNet-B0,FT-2,StyleGAN3,True,42,0.7185714285714285,0.6412307692307693,0.9923809523809524,0.44476190476190475,0.7790654205607477,0.9739804988662132,1042,8,583,467
EfficientNet-B0,FT-2,StyleGAN3,True,123,0.8214285714285714,0.7408993576017131,0.9885714285714285,0.6542857142857142,0.847001223990208,0.9807070294784581,1038,12,363,687
EfficientNet-B0,FT-2,StyleGAN3,True,2024,0.7961904761904762,0.712431693989071,0.9933333333333333,0.599047619047619,0.8297533810660302,0.9815578231292517,1043,7,421,629
