Arquitectura,Etapa,Generador,Visto,N_semillas,Exactitud_media,Exactitud_sd,Exactitud_texto,Precision_media,Precision_sd,Precision_texto,Sensibilidad_Recall_media,Sensibilidad_Recall_sd,Sensibilidad_Recall_texto,Especificidad_media,Especificidad_sd,Especificidad_texto,F1_Score_media,F1_Score_sd,F1_Score_texto,AUC_ROC_media,AUC_ROC_sd,AUC_ROC_texto
EfficientNet-B0,Inicial,StyleGAN2,True,3,0.9022222222222221,0.0721146940680545,0.9022 ± 0.0721,0.8459323616740487,0.10164010191710071,0.8459 ± 0.1016,0.9977777777777778,0.0014547859349066372,0.9978 ± 0.0015,0.8066666666666666,0.14481515311399065,0.8067 ± 0.1448,0.9133853061076816,0.05965144361020725,0.9134 ± 0.0597,0.9967606953892668,0.0024199119965735336,0.9968 ± 0.0024
EfficientNet-B0,Inicial,StyleGAN3,False,3,0.8538095238095238,0.03623743820191547,0.8538 ± 0.0362,0.8363574466309179,0.0989335074794791,0.8364 ± 0.0989,0.900952380952381,0.07245610133946756,0.9010 ± 0.0725,0.8066666666666666,0.14481515311399065,0.8067 ± 0.1448,0.8617687107275879,0.019933857005974248,0.8618 ± 0.0199,0.9517954648526077,0.009563935048687898,0.9518 ± 0.0096
EfficientNet-B0,Inicial,SDXL,False,3,0.6039682539682539,0.056709334343323835,0.6040 ± 0.0567,0.6962632016992147,0.14940393403439745,0.6963 ± 0.1494,0.4012698412698413,0.15141459454314551,0.4013 ± 0.1514,0.8066666666666666,0.14481515311399065,0.8067 ± 0.1448,0.49385424190064064,0.11329550616219272,0.4939 ± 0.1133,0.6385581254724112,0.12355742268358032,0.6386 ± 0.1236
EfficientNet-B0,Inicial,Flux,False,3,0.6901587301587302,0.09080932820581394,0.6902 ± 0.0908,0.7581538113837555,0.13887206991478043,0.7582 ± 0.1389,0.5736507936507937,0.15967749053205738,0.5737 ± 0.1597,0.8066666666666666,0.14481515311399065,0.8067 ± 0.1448,0.6435796311720524,0.128237220616046,0.6436 ± 0.1282,0.754603476946334,0.12512966328902458,0.7546 ± 0.1251
EfficientNet-B0,FT-1,StyleGAN2,True,3,0.769047619047619,0.02874155697775731,0.7690 ± 0.0287,0.6847306224141295,0.026381751438178995,0.6847 ± 0.0264,1.0,0.0,1.0000 ± 0.0000,0.5380952380952381,0.057483113955514566,0.5381 ± 0.0575,0.8126709006652786,0.018745631860834885,0.8127 ± 0.0187,0.9963387755102041,0.0013557535460260476,0.9963 ± 0.0014
EfficientNet-B0,FT-1,StyleGAN3,True,3,0.7655555555555557,0.029455887050553978,0.7656 ± 0.0295,0.6832097446884111,0.026764903174529342,0.6832 ± 0.0268,0.993015873015873,0.001454785934906625,0.9930 ± 0.0015,0.5380952380952381,0.057483113955514566,0.5381 ± 0.0575,0.8092958417862178,0.019411703685818543,0.8093 ± 0.0194,0.9785298563869992,0.005043453516148432,0.9785 ± 0.0050
EfficientNet-B0,FT-1,SDXL,False,3,0.5488888888888889,0.024113927126900792,0.5489 ± 0.0241,0.5483160151714449,0.024913342847658275,0.5483 ± 0.0249,0.5596825396825397,0.050190867743420096,0.5597 ± 0.0502,0.5380952380952381,0.057483113955514566,0.5381 ± 0.0575,0.5531486588911966,0.029964843433762815,0.5531 ± 0.0300,0.5709272864701437,0.03519375181871296,0.5709 ± 0.0352
EfficientNet-B0,FT-1,Flux,False,3,0.6341269841269842,0.04662129313462865,0.6341 ± 0.0466,0.6126248120212344,0.037899042185774605,0.6126 ± 0.0379,0.7301587301587301,0.06340549654158982,0.7302 ± 0.0634,0.5380952380952381,0.057483113955514566,0.5381 ± 0.0575,0.6657889800572208,0.04518412124362185,0.6658 ± 0.0452,0.710902343159486,0.07015542750037822,0.7109 ± 0.0702
EfficientNet-B0,FT-2,StyleGAN2,True,3,0.783015873015873,0.05429685210164722,0.7830 ± 0.0543,0.699962762873383,0.05147017495516783,0.7000 ± 0.0515,1.0,0.0,1.0000 ± 0.0000,0.566031746031746,0.10859370420329437,0.5660 ± 0.1086,0.8227758201635341,0.03606097584083618,0.8228 ± 0.0361,0.9967130763416477,0.0020276098940914533,0.9967 ± 0.0020
EfficientNet-B0,FT-2,StyleGAN3,True,3,0.7787301587301587,0.053605456565026806,0.7787 ± 0.0536,0.6981872736071845,0.05133843113084085,0.6982 ± 0.0513,0.9914285714285714,0.0025197631533948437,0.9914 ± 0.0025,0.566031746031746,0.10859370420329437,0.5660 ± 0.1086,0.818606675205662,0.03531295988096645,0.8186 ± 0.0353,0.9787484504913078,0.004151022101059977,0.9787 ± 0.0042
