Arquitectura,Experimento,Generador,Semilla,Exactitud,Precision,Sensibilidad_Recall,Especificidad,F1_Score,AUC_ROC,VP_fake_fake,FN_fake_real,FP_real_fake,VN_real_real
EfficientNet-B0,A,StyleGAN2,42,0.8271428571428572,0.7434443656980865,0.9990476190476191,0.6552380952380953,0.8524989841527835,0.9943043083900226,1049,1,362,688
EfficientNet-B0,A,StyleGAN2,123,0.9085714285714286,0.8476499189627229,0.9961904761904762,0.820952380952381,0.9159369527145359,0.9968353741496598,1046,4,188,862
EfficientNet-B0,A,StyleGAN2,2024,0.9709523809523809,0.9467028003613369,0.9980952380952381,0.9438095238095238,0.9717199814557256,0.9991424036281179,1048,2,59,991
EfficientNet-B0,B,StyleGAN3,42,0.8152380952380952,0.7388167388167388,0.9752380952380952,0.6552380952380953,0.8407224958949097,0.9595795918367347,1024,26,362,688
EfficientNet-B0,B,StyleGAN3,123,0.8590476190476191,0.8336283185840708,0.8971428571428571,0.820952380952381,0.8642201834862385,0.9411192743764172,942,108,188,862
EfficientNet-B0,B,StyleGAN3,2024,0.8871428571428571,0.9366272824919442,0.8304761904761905,0.9438095238095238,0.8803634528016153,0.9546875283446712,872,178,59,991
EfficientNet-B0,C,SDXL,42,0.6104761904761905,0.6213389121338913,0.5657142857142857,0.6552380952380953,0.5922233300099701,0.6484235827664399,594,456,362,688
EfficientNet-B0,C,SDXL,123,0.5442857142857143,0.5991471215351812,0.26761904761904765,0.820952380952381,0.36998025016458197,0.5103637188208616,281,769,188,862
EfficientNet-B0,C,SDXL,2024,0.6571428571428571,0.8683035714285714,0.37047619047619046,0.9438095238095238,0.5193591455273698,0.7568870748299319,389,661,59,991
EfficientNet-B0,D,Flux,42,0.6761904761904762,0.6691042047531993,0.6971428571428572,0.6552380952380953,0.6828358208955224,0.7429433106575963,732,318,362,688
EfficientNet-B0,D,Flux,123,0.6071428571428571,0.6871880199667221,0.3933333333333333,0.820952380952381,0.5003028467595396,0.6357120181405895,413,637,188,862
EfficientNet-B0,D,Flux,2024,0.7871428571428571,0.9181692094313454,0.6304761904761905,0.9438095238095238,0.7476002258610954,0.8851551020408164,662,388,59,991
ResNet-50,A,StyleGAN2,42,0.7690476190476191,0.6845199216198563,0.9980952380952381,0.54,0.8120883378535452,0.9876675736961451,1048,2,483,567
ResNet-50,A,StyleGAN2,123,0.8014285714285714,0.7160409556313994,0.9990476190476191,0.6038095238095238,0.8341948310139164,0.9909736961451248,1049,1,416,634
ResNet-50,A,StyleGAN2,2024,0.8276190476190476,0.7443181818181818,0.9980952380952381,0.6571428571428571,0.8527257933279089,0.9935954648526077,1048,2,360,690
ResNet-50,B,StyleGAN3,42,0.7547619047619047,0.6782145236508994,0.9695238095238096,0.54,0.7981183849470795,0.9225777777777777,1018,32,483,567
ResNet-50,B,StyleGAN3,123,0.7776190476190477,0.7060070671378091,0.9514285714285714,0.6038095238095238,0.8105476673427991,0.9119183673469388,999,51,416,634
ResNet-50,B,StyleGAN3,2024,0.8038095238095239,0.7349042709867453,0.9504761904761905,0.6571428571428571,0.8289036544850499,0.9235396825396827,998,52,360,690
ResNet-50,C,SDXL,42,0.7547619047619047,0.6782145236508994,0.9695238095238096,0.54,0.7981183849470795,0.9072535147392291,1018,32,483,567
ResNet-50,C,SDXL,123,0.7785714285714286,0.7064220183486238,0.9533333333333334,0.6038095238095238,0.8115119578435347,0.924742403628118,1001,49,416,634
