Arquitectura,Experimento,Generador,N_semillas,Exactitud_media,Exactitud_sd,Exactitud_texto,Precision_media,Precision_sd,Precision_texto,Sensibilidad_Recall_media,Sensibilidad_Recall_sd,Sensibilidad_Recall_texto,Especificidad_media,Especificidad_sd,Especificidad_texto,F1_Score_media,F1_Score_sd,F1_Score_texto,AUC_ROC_media,AUC_ROC_sd,AUC_ROC_texto
EfficientNet-B0,A,StyleGAN2,3,0.9022222222222221,0.072114694,0.9022 ± 0.0721,0.8459323616740487,0.10164010191710071,0.8459 ± 0.1016,0.9977777777777778,0.001454786,0.9978 ± 0.0015,0.8066666666666666,0.14481515311399065,0.8067 ± 0.1448,0.9133853061076816,0.059651444,0.9134 ± 0.0597,0.9967606953892668,0.002419912,0.9968 ± 0.0024
EfficientNet-B0,B,StyleGAN3,3,0.8538095238095238,0.036237438,0.8538 ± 0.0362,0.8363574466309179,0.098933507,0.8364 ± 0.0989,0.900952381,0.072456101,0.9010 ± 0.0725,0.8066666666666666,0.14481515311399065,0.8067 ± 0.1448,0.8617687107275879,0.019933857005974248,0.8618 ± 0.0199,0.9517954648526077,0.009563935,0.9518 ± 0.0096
EfficientNet-B0,C,SDXL,3,0.6039682539682539,0.056709334343323835,0.6040 ± 0.0567,0.6962632016992147,0.14940393403439745,0.6963 ± 0.1494,0.4012698412698413,0.15141459454314551,0.4013 ± 0.1514,0.8066666666666666,0.14481515311399065,0.8067 ± 0.1448,0.49385424190064064,0.11329550616219272,0.4939 ± 0.1133,0.6385581254724112,0.12355742268358032,0.6386 ± 0.1236
EfficientNet-B0,D,Flux,3,0.6901587301587302,0.090809328,0.6902 ± 0.0908,0.7581538113837555,0.13887206991478043,0.7582 ± 0.1389,0.5736507936507937,0.15967749053205738,0.5737 ± 0.1597,0.8066666666666666,0.14481515311399065,0.8067 ± 0.1448,0.6435796311720524,0.128237221,0.6436 ± 0.1282,0.754603477,0.12512966328902458,0.7546 ± 0.1251
ResNet-50,A,StyleGAN2,3,0.7993650793650794,0.029340187,0.7994 ± 0.0293,0.7149596863564791,0.029913790099556484,0.7150 ± 0.0299,0.9984126984126984,0.000549857,0.9984 ± 0.0005,0.6003174603174602,0.058649451,0.6003 ± 0.0586,0.8330029873984568,0.020344927261125977,0.8330 ± 0.0203,0.9907455782312926,0.002970522,0.9907 ± 0.0030
ResNet-50,B,StyleGAN3,3,0.7787301587301587,0.02454268,0.7787 ± 0.0245,0.7063752872584846,0.028346667401891592,0.7064 ± 0.0283,0.9571428571428572,0.010732788256747313,0.9571 ± 0.0107,0.6003174603174602,0.058649451,0.6003 ± 0.0586,0.8125232355916427,0.015487425788708422,0.8125 ± 0.0155,0.919345276,0.006449848,0.9193 ± 0.0064
ResNet-50,C,SDXL,3,0.7746031746031745,0.018184824186332695,0.7746 ± 0.0182,0.704653283,0.025600259,0.7047 ± 0.0256,0.9488888888888889,0.023178952,0.9489 ± 0.0232,0.6003174603174602,0.058649451,0.6003 ± 0.0586,0.8082521310702608,0.008960191,0.8083 ± 0.0090,0.9157207860922147,0.008757613,0.9157 ± 0.0088
ResNet-50,D,Flux,3,0.7807936507936507,0.026913539795772365,0.7808 ± 0.0269,0.7072306170600781,0.029325252548118002,0.7072 ± 0.0293,0.9612698412698412,0.006482723,0.9613 ± 0.0065,0.6003174603174602,0.058649451,0.6003 ± 0.0586,0.8146223005792796,0.017867067,0.8146 ± 0.0179,0.929011187,0.013023320704813976,0.9290 ± 0.0130
Xception,A,StyleGAN2,3,0.9266666666666666,0.044883320639802604,0.9267 ± 0.0449,0.8786830641632902,0.070409947,0.8787 ± 0.0704,0.9958730158730158,0.002396773,0.9959 ± 0.0024,0.8574603174603174,0.092122039,0.8575 ± 0.0921,0.9325567854155232,0.038826018437975736,0.9326 ± 0.0388,0.9972497354497355,0.002015316,0.9972 ± 0.0020
Xception,B,StyleGAN3,3,0.85984127,0.024440837,0.8598 ± 0.0244,0.8657329290229558,0.070558673,0.8657 ± 0.0706,0.8622222222222223,0.081978557,0.8622 ± 0.0820,0.8574603174603174,0.092122039,0.8575 ± 0.0921,0.8597512486876265,0.024691675537806074,0.8598 ± 0.0247,0.9402952380952381,0.019679615658955357,0.9403 ± 0.0197
Xception,C,SDXL,3,0.769047619,0.004542568,0.7690 ± 0.0045,0.8383048011369217,0.073910144,0.8383 ± 0.0739,0.6806349206349207,0.10120513432582255,0.6806 ± 0.1012,0.8574603174603174,0.092122039,0.8575 ± 0.0921,0.744400759,0.031842435,0.7444 ± 0.0318,0.8741662887377174,0.018765042,0.8742 ± 0.0188
Xception,D,Flux,3,0.8279365079365079,0.017184693218907542,0.8279 ± 0.0172,0.8572018176519323,0.069190977,0.8572 ± 0.0692,0.7984126984126984,0.10094489340307024,0.7984 ± 0.1009,0.8574603174603174,0.092122039,0.8575 ± 0.0921,0.8213546824694253,0.026659669786657965,0.8214 ± 0.0267,0.9204346182917611,0.021696777,0.9204 ± 0.0217
